,precision,recall,f1-score
airplane,0.5853158907850666,0.5176000000000001,0.5463578752548197
automobile,0.626180067152561,0.6388,0.6269872877195132
bird,0.3691305333589473,0.4196,0.386511565161598
cat,0.31922161560018997,0.18660000000000002,0.22881677911619605
deer,0.4483017215848967,0.35960000000000003,0.3885242609786143
dog,0.4417942066600647,0.4628,0.4216905013579436
frog,0.5371918230671839,0.6362,0.5773471150511632
horse,0.5813619970430552,0.5740000000000001,0.5715906047423825
ship,0.6276959365006306,0.718,0.6691715332709861
truck,0.578576758881229,0.5770000000000001,0.5721361929911328
